product_id,product_code,product_name,category_id,manufacturer_name,brand_name,jan_code,unit,standard_price,purchase_price,stock_control_flag,sales_start_date,sales_end_date,created_at,updated_at
1,PRD00001,濃厚な食パン,2,北海道ミルク,クリアウォーター,4900741757226,本,755.00,528.50,true,2025-03-03,,2025-04-05 18:13:58.736398,2025-04-08 18:13:58.736398
2,PRD00002,濃厚な食パン,6,スポドリカンパニー,たまご倶楽部,4900927677391,本,648.00,453.60,true,2025-01-25,,2025-04-22 18:13:58.736865,2025-04-27 18:13:58.736865
3,PRD00003,新鮮なバナナ,2,スパイスジャパン,たまご倶楽部,4900039512808,箱,867.00,606.90,true,2025-06-15,,2025-04-13 18:13:58.737098,2025-04-15 18:13:58.737098
4,PRD00004,上質なサラダ油,6,東京ベーカリー,ヘルシーオイル,4900672238205,本,550.00,385.00,true,2025-01-04,,2025-04-03 18:13:58.737300,2025-04-03 18:13:58.737300
5,PRD00005,甘いしょうゆ,1,スパイスジャパン,ゴールデンアップル,4900368200028,本,224.00,156.80,true,2025-03-26,,2025-04-11 18:13:58.737459,2025-04-12 18:13:58.737459
6,PRD00006,新鮮なしょうゆ,1,スポドリカンパニー,クリアウォーター,4900794947418,缶,558.00,390.60,true,2025-04-13,,2025-04-01 18:13:58.737626,2025-04-05 18:13:58.737626
7,PRD00007,上質な牛乳,1,スパイスジャパン,リフレッシュウォーター,4900492260957,箱,514.00,359.80,true,2025-01-16,,2025-03-29 18:13:58.737831,2025-04-06 18:13:58.737831
8,PRD00008,上質な卵,1,スパイスジャパン,ゴールデンアップル,4900866246360,パック,725.00,507.50,true,2025-06-17,,2025-04-23 18:13:58.738075,2025-05-02 18:13:58.738075
9,PRD00009,濃厚な牛乳,4,日本オイル,リフレッシュウォーター,4900709137726,個,590.00,413.00,true,2025-01-14,,2025-04-24 18:13:58.738219,2025-04-30 18:13:58.738219
10,PRD00010,ふわふわの牛乳,4,日本オイル,ミルクファーム,4900347428222,本,676.00,473.20,true,2025-04-01,,2025-04-10 18:13:58.738367,2025-04-15 18:13:58.738367
11,PRD00011,お得なサラダ油,5,日本オイル,ふんわりブレッド,4900359953025,個,957.00,669.90,true,2025-03-09,,2025-04-12 18:13:58.738519,2025-04-13 18:13:58.738519
12,PRD00012,上質なティッシュ,6,清流ウォーター,ふんわりブレッド,4900264188612,缶,657.00,459.90,true,2025-03-23,,2025-04-23 18:13:58.738659,2025-05-02 18:13:58.738659
13,PRD00013,上質なバナナ,4,関西エッグ,クリアウォーター,4900878145005,袋,322.00,225.40,true,2025-03-12,,2025-04-15 18:13:58.738813,2025-04-19 18:13:58.738813
14,PRD00014,甘いしょうゆ,3,関西エッグ,たまご倶楽部,4900207014770,袋,245.00,171.50,true,2025-04-08,,2025-04-15 18:13:58.738948,2025-04-22 18:13:58.738948
15,PRD00015,甘いしょうゆ,1,北海道ミルク,ふんわりブレッド,4900561378327,個,779.00,545.30,true,2025-05-05,,2025-04-04 18:13:58.739179,2025-04-05 18:13:58.739179
16,PRD00016,上質なりんご,5,日本オイル,ヘルシーオイル,4900438633226,箱,132.00,92.40,true,2025-04-15,,2025-04-17 18:13:58.739383,2025-04-26 18:13:58.739383
17,PRD00017,濃厚な水,1,東京ベーカリー,リフレッシュウォーター,4900160901911,缶,977.00,683.90,true,2025-06-10,,2025-04-16 18:13:58.739602,2025-04-22 18:13:58.739602
18,PRD00018,お得なりんご,5,青森フルーツ,たまご倶楽部,4900139711748,缶,191.00,133.70,true,2025-06-04,,2025-04-13 18:13:58.739752,2025-04-16 18:13:58.739752
19,PRD00019,濃厚なティッシュ,4,スポドリカンパニー,ゴールデンアップル,4900901198947,箱,651.00,455.70,true,2025-01-25,,2025-04-02 18:13:58.739879,2025-04-06 18:13:58.739879
20,PRD00020,上質な卵,1,関西エッグ,ふんわりブレッド,4900281999073,パック,788.00,551.60,true,2025-02-22,,2025-04-06 18:13:58.740021,2025-04-13 18:13:58.740021
21,PRD00021,濃厚なしょうゆ,3,清流ウォーター,たまご倶楽部,4900664887683,パック,610.00,427.00,true,2025-06-23,,2025-04-21 18:13:58.740195,2025-04-21 18:13:58.740195
22,PRD00022,濃厚な水,4,東京ベーカリー,ふんわりブレッド,4900853835600,缶,230.00,161.00,true,2025-04-21,,2025-04-17 18:13:58.740334,2025-04-24 18:13:58.740334
23,PRD00023,お得なバナナ,2,日本オイル,本格カレー,4900049019400,箱,966.00,676.20,true,2025-04-26,,2025-04-26 18:13:58.740568,2025-04-29 18:13:58.740568
24,PRD00024,甘いカレー粉,1,スパイスジャパン,クリアウォーター,4900248327510,個,257.00,179.90,true,2025-03-26,,2025-04-17 18:13:58.740724,2025-04-25 18:13:58.740724
25,PRD00025,お得なチョコレート,4,スポドリカンパニー,ミルクファーム,4900152321271,袋,670.00,469.00,true,2025-01-15,,2025-04-19 18:13:58.740861,2025-04-23 18:13:58.740861
26,PRD00026,新鮮なサラダ油,5,日本オイル,ヘルシーオイル,4900615371313,箱,819.00,573.30,true,2025-05-26,,2025-03-30 18:13:58.741119,2025-04-02 18:13:58.741119
